Date,btc_c,btc_h,btc_l,btc_o,btc_v,sp500_c,dowj_c,nasdaq_c,eurostoxx_c,nikkei_c,day,month,Year,btc_prev_c1,btc_prev_c2,btc_prev_c3,btc_prev_c4,btc_prev_c5,btc_prev_c6,btc_prev_c7,NextClose_BTC1,NextClose_BTC2,NextClose_BTC3,NextClose_BTC4,NextClose_BTC5,NextClose_BTC6,NextClose_BTC7,is_month_start,is_month_end,btc_pct_prev1,btc_pct_prev2,btc_pct_prev3,btc_pct_prev4,btc_pct_prev5,btc_pct_prev6,btc_pct_prev7,fng_value,bitcoin,RSI_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATRr_14
2022-03-06,38419.984375,39640.17578125,38211.6484375,39404.19921875,19745229902,,,,,,Sunday,March,2022,39400.5859375,39137.60546875,42451.7890625,43924.1171875,44354.63671875,43193.234375,37709.78515625,38062.0390625,38737.26953125,41982.92578125,39437.4609375,38794.97265625,38904.01171875,37849.6640625,0,0,-2.488799440839534,-1.833584566953119,-9.497372847029231,-12.531003842386559,-13.38000439814503,-11.050920518151171,1.883328732336445,22,32.0,43.66086500976352,35246.346251157716,40278.058984375006,45309.771717592295,24.98488189398219,0.31536360401610725,-186.0176835006714,-69.74507567581072,-116.27260782486069,2143.5105497864693
2024-06-27,61604.80078125,62293.86328125,60585.33203125,60811.2265625,21231745045,5482.8701171875,39164.05859375,19789.029296875,4902.60009765625,39341.5390625,Thursday,June,2024,60811.27734375,61804.640625,60277.4140625,63180.796875,64252.578125,64096.19921875,64828.65625,60320.13671875,60887.37890625,62678.29296875,62851.98046875,62029.015625,60173.921875,56977.703125,0,0,1.3048951973404912,-0.32334116294362,2.2021295030567654,-2.4944226279197275,-4.120888874838437,-3.8869675080066113,-4.972886459836193,40,20.0,35.82302879715427,59721.74079459882,65354.22539062501,70986.7099866512,17.236787866004335,0.16716068677575316,-1659.537718944157,-560.7807152846469,-1098.75700365951,1927.5972581809951
2024-02-22,51304.97265625,52009.61328125,50926.29296875,51854.64453125,25413900611,5087.02978515625,39069.109375,18004.69921875,4855.35986328125,39098.6796875,Thursday,February,2024,51839.1796875,52284.875,51779.14453125,52122.546875,51662.99609375,52160.203125,51938.5546875,50731.94921875,51571.1015625,51733.23828125,54522.40234375,57085.37109375,62504.7890625,61198.3828125,0,0,-1.0305082651198154,-1.8741602494985403,-0.9157584183605535,-1.568561530024045,-0.6929978215942307,-1.639622581032654,-1.219868429266253,74,24.0,69.0058134046932,41054.421753675015,48538.559375000004,56022.696996324994,30.83790585338108,0.6848184400943866,2342.7672363274687,123.10966032346641,2219.6575760040023,1478.0258828243327
2021-05-03,57200.29296875,58973.30859375,56590.87109375,56620.2734375,51713139031,,,,,,Monday,May,2021,56631.078125,57828.05078125,57750.17578125,53555.109375,54824.703125,55033.1171875,54021.75390625,53333.5390625,57424.0078125,56396.515625,57356.40234375,58803.77734375,58232.31640625,55859.796875,0,0,1.0051280367532294,-1.0855593505557728,-0.9521751320426852,6.806416112841708,4.333064674027818,3.9379484426919644,5.883813154263882,61,43.0,53.06668653248772,47927.737604934955,55987.7607421875,64047.783879440045,28.79208966533721,0.5752189048290884,-275.70683126912627,403.8348262613782,-679.5416575305045,3004.9822306853507
2023-12-23,43739.54296875,44015.69921875,43351.35546875,44012.19921875,13507796558,,,,,,Saturday,December,2023,43997.90234375,43869.15234375,43652.25,42270.52734375,42623.5390625,41364.6640625,42240.1171875,43016.1171875,43613.140625,42520.40234375,43442.85546875,42627.85546875,42099.40234375,42156.90234375,0,0,-0.5872083923035039,-0.2954453598382904,0.19997358383588476,3.4752715835640138,2.6182807218649176,5.741322841789971,3.5497670960385515,70,24.0,61.89878444299864,40974.77246862724,42953.4181640625,44932.063859497764,9.212983646040628,0.698652241404585,1223.7029192500413,-87.25724158008006,1310.9601608301214,1365.856134449987
2021-04-27,55033.1171875,55416.96484375,53319.1875,54030.3046875,49448222757,,,,,,Tuesday,April,2021,54021.75390625,49004.25390625,50050.8671875,51093.65234375,51762.2734375,53906.08984375,56473.03125,54824.703125,53555.109375,57750.17578125,57828.05078125,56631.078125,57200.29296875,53333.5390625,0,0,1.872140773150631,12.302734560113523,9.95437298086275,7.710282320875995,6.318972357250417,2.0907236028744727,-2.5497375129832434,50,51.0,48.023376796783815,48118.0955456964,57096.493554687506,66074.89156367861,31.449910318543534,0.3850921754013796,-1434.9638621471386,-685.197350863987,-749.7665112831515,3276.7585159896835
2021-01-18,36630.07421875,37299.28515625,34883.84375,35792.23828125,49511702429,,,,,,Monday,January,2021,35791.27734375,36178.140625,36825.3671875,39187.328125,37316.359375,33922.9609375,35566.65625,36069.8046875,35547.75,30825.69921875,33005.76171875,32067.642578125,32289.37890625,32366.392578125,0,0,2.343579042859932,1.2491896652027015,-0.5303218505755735,-6.525716420606311,-1.83909997584002,7.980179814602895,2.989929560077776,79,53.0,60.33754287226677,27929.84301171702,35255.63144531251,42581.419878908,41.558117856768696,0.5938085221745147,2927.4236439189335,-557.8926545284598,3485.3162984473934,3113.9175914778198
2023-07-09,30171.234375,30427.58984375,30085.591796875,30291.611328125,7903327692,,,,,,Sunday,July,2023,30292.541015625,30342.265625,29909.337890625,30514.166015625,30777.58203125,31156.439453125,30620.76953125,30414.470703125,30620.951171875,30391.646484375,31476.048828125,30334.068359375,30295.806640625,30249.1328125,0,0,-0.40045052860514274,-0.5636733001871873,0.8756345103082029,-1.1238440547560742,-1.9700951674317537,-3.1621234499765145,-1.4680726942254907,55,20.0,57.04125127282355,29195.057700592482,30316.7025390625,31438.347377532515,7.399517391608127,0.43515408840960523,683.0940267926744,-143.13127705898125,826.2253038516557,798.5778457858808
2022-06-04,29832.9140625,29930.564453125,29500.005859375,29706.138671875,16588370958,,,,,,Saturday,June,2022,29704.390625,30467.48828125,29799.080078125,31792.310546875,31726.390625,29445.95703125,28814.900390625,29906.662109375,31370.671875,31155.478515625,30214.35546875,30111.998046875,29083.8046875,28360.810546875,0,0,0.4326748833952893,-2.0827913771301043,0.113540365294152,-6.163114447080026,-5.9681436343659096,1.3141261832289424,3.5329418393763157,14,26.0,44.28854067605689,28083.691573201122,29803.75791015625,31523.82424711138,11.542613801523204,0.5084752988060219,-945.0592259296063,387.30455654054913,-1332.3637824701555,1422.2649100329133
2021-03-31,58918.83203125,59930.02734375,57726.41796875,58930.27734375,65520826225,,,,,,Wednesday,March,2021,58917.69140625,57750.19921875,55950.74609375,55973.51171875,55137.3125,51704.16015625,52774.265625,59095.80859375,59384.3125,57603.890625,58758.5546875,59057.87890625,58192.359375,56048.9375,0,1,0.0019359634988668315,2.023599620969922,5.304819228910249,5.261989505499217,6.858367518819493,13.953755081210598,11.643111151771713,76,46.0,60.72429346318557,52235.01474182335,56894.896875,61554.77900817665,16.38066817632017,0.7171659173351538,1419.835973545465,-38.18349934744333,1458.0194728929084,3145.6000594452726
2025-09-13,115950.5078125,116334.6328125,115248.2734375,116093.5625,34549454947,,,,,,Saturday,September,2025,116101.578125,115507.5390625,113955.359375,111530.546875,112071.4296875,111167.6171875,110224.6953125,115407.65625,115444.875,116843.1875,116468.5078125,117137.203125,115688.859375,115721.9609375,0,0,-0.13011908618274864,0.3834976951247433,1.7508158005403156,3.9630048102012414,3.4612551439884562,4.302413549921623,5.194673012038407,52,28.0,58.926775623584,106922.41144242344,111560.387109375,116198.36277632657,8.314735699876053,0.9732798335281609,200.58589939658123,841.729983774396,-641.1440843778148,2504.4458192296274
2022-04-04,46622.67578125,46791.08984375,45235.81640625,46445.2734375,32499785455,4582.64013671875,34921.87890625,15159.580078125,3951.1201171875,27736.470703125,Monday,April,2022,46453.56640625,45868.94921875,46281.64453125,45538.67578125,47062.6640625,47465.73046875,47128.00390625,45555.9921875,43206.73828125,43503.84765625,42287.6640625,42782.13671875,42207.671875,39521.90234375,0,0,0.3640395949819851,1.6432174168748925,0.7368607002928148,2.3803942064699295,-0.9348987993235747,-1.7761333896568636,-1.0722459750369029,52,26.0,62.867033957566015,39530.23989765128,44285.8798828125,49041.51986797372,21.47700349522423,0.7456867956498897,1581.4572297248524,117.13736399009576,1464.3198657347566,1595.8121187602844
2022-02-25,39214.21875,39630.32421875,38111.34375,38333.74609375,26545599159,4384.64990234375,34058.75,14189.16015625,3970.68994140625,26476.5,Friday,February,2022,38332.609375,37296.5703125,38286.02734375,37075.28125,38431.37890625,40122.15625,40030.9765625,39105.1484375,37709.78515625,43193.234375,44354.63671875,43924.1171875,42451.7890625,39137.60546875,0,0,2.2998939789759616,5.141621391544674,2.4243607149842425,5.7691740369467865,2.0369808891314296,-2.2629329648752363,-2.0403144830224247,27,43.0,45.7365921941,36246.14035856257,41278.810351562504,46311.48034456244,24.38379376797829,0.2948810865371468,-793.2071720341992,-387.6949140689529,-405.51225796524625,1987.7974296355283
